cust,st,g,a,salesrev
Kristen Cross,CT,Female,62,$225
Kristi Elliott,TX,Female,53,$71
Kristi Meyer,FL,Female,64,$65
Kristin Burke,CA,Female,62,$614
Kristine Cantu,AZ,Female,44,$13
Kristine Guthrie,CA,Female,28,$560
Kristine Koch,CA,Female,77,$136
Kristine Phelps,CT,Female,76,$197
Kristofer Tate,PA,Male,44,$632
Kristofer Willis,NH,Male,71,$80
Kristopher Blankenship,FL,Male,47,$1789
Kristopher Carson,CA,Male,40,$20
Kristy Copeland,MA,Female,65,$299
Kristy Hayes,WA,Female,64,$78
Kristy Kim,VA,Female,68,$420
Kristy Padilla,NC,Female,46,$20
Krystal Horton,TX,Female,81,$794
Krystal Lynn,OH,Female,64,$325
Krystal Miller,GA,Female,58,$509
Krystal Osborne,CO,Female,71,$879
Krystal Ramirez,CA,Female,43,$769
Kurt Buck,CT,Male,40,$175
Kurt Foster,FL,Male,84,$540
Kurt Salazar,FL,Male,54,$475
Kurt Santana,NC,Male,65,$459
Kurtis Fields,NC,Male,40,$250
Kurtis Jacobs,GA,Male,45,$225
Kurtis Jacobson,NJ,Male,22,$265
Kurtis Weber,PA,Male,41,$160
Kyle McKinney,MA,Male,45,$831
Lacey Hartman,TX,Female,51,$439
Lacey Hawkins,CO,Female,23,$180
Lacey Price,NM,Female,50,$326
Lacey Simon,CT,Female,24,$485
Lacy Garcia,TX,Female,61,$58
Lacy Mullins,CT,Male,26,$310
Lacy Soto,PA,Male,51,$60
Ladonna Hoover,NC,Female,42,$288
Ladonna Meyers,VA,Female,33,$212
Ladonna Potter,FL,Female,51,$52
Ladonna Spencer,FL,Female,96,$180
Lakeisha Dorsey,PA,Female,35,$180
Lakeisha Roy,MA,Female,73,$330
Lakisha Hoover,WA,Female,54,$130
Lakisha Moody,NY,Female,75,$40
Lakisha Parker,NY,Female,64,$314
Lakisha Talley,UT,Female,73,$20
Lamar Bell,FL,Male,75,$75
Lamar Pena,TX,Male,39,$512
Lamar Yang,TX,Male,77,$60
Lamont Bennett,CA,Male,26,$117
Lamont Collier,PA,Male,53,$69
Lamont Parks,TX,Male,56,$709
Lana Anthony,TX,Female,53,$359
Lana Daniels,FL,Female,80,$330
Lana Drake,CA,Female,59,$309
Lana Glass,CA,Female,59,$226
Lana Leonard,MA,Female,30,$944
Lana Newton,CA,Female,43,$91
Landon Flores,NM,Male,62,$165
Landon Pearson,VA,Male,50,$404
Landon Taylor,CO,Male,51,$100
Lane Houston,TX,Male,67,$185
Lanny Owen,PA,Male,21,$271
Lanny Payne,WA,Male,27,$120
Lara Bailey,AL,Female,52,$329
Larry Chen,LA,Male,48,$544
Larry Poole,FL,Male,62,$319
Latasha Garner,CT,Female,41,$540
Latasha Hardin,AZ,Female,54,$239
Latisha Franks,SC,Female,68,$91
Latisha Hunter,LA,Female,32,$99
Latoya Bass,NY,Female,28,$423
Laurel Barron,SC,Female,61,$158
Laurel Cross,CT,Female,32,$60
Laurel Hammond,RI,Female,57,$38
Lauren Daniel,FL,Female,51,$210
Lauren Dennis,NY,Female,48,$339
Lauren Farmer,TX,Female,59,$313
Lauren Gross,FL,Female,49,$56
Lauren Marks,MA,Female,60,$221
Lauren Weeks,NC,Female,36,$642
Laurence Gregory,VA,Male,54,$117
Laurence Hernandez,PA,Male,46,$86
Laurence Rose,TX,Male,57,$84
Laurence Travis,CO,Male,22,$145
Lauri Montgomery,MA,Female,56,$45
Laurie Morgan,LA,Female,32,$166
Lavern Ball,CA,Male,63,$117
Laverne Beach,LA,Female,64,$859
Laverne Oneill,CO,Male,33,$190
Lavonne Holman,NC,Female,45,$369
Lawanda Clements,TN,Female,64,$269
Lawanda Massey,VA,Female,45,$459
Lawanda Wolf,NY,Female,69,$200
Lazaro Byers,CO,Male,37,$283
Lazaro Carr,MA,Male,42,$307
Lazaro Chapman,NC,Male,55,$379
Lea Rush,AZ,Female,49,$224
Leah Keith,VA,Female,68,$451
Leann Larsen,SC,Female,49,$320
Leann Patterson,GA,Female,40,$348
Leanna Ferrell,FL,Female,53,$399
Leanna McLaughlin,FL,Female,66,$173
Leanna Rice,CA,Female,50,$170
Leanne Orr,FL,Female,84,$379
Leanne Wells,NH,Female,25,$799
Lee Barron,PA,Female,68,$279
Lee Benson,NY,Male,62,$90
Lee Green,TX,Female,41,$631
Lee Harrison,FL,Female,86,$164
Lee Kerr,TX,Male,41,$469
Lee Ortiz,NC,Male,73,$113
Lee Sanchez,CT,Female,44,$65
Leif Hunt,FL,Male,74,$168
Leigh Beck,WA,Male,25,$405
Leigh Glenn,FL,Female,95,$490
Leigh Small,FL,Female,67,$250
Leigh Vincent,NY,Male,30,$540
Leila Barker,CT,Female,65,$70
Leila Franco,CA,Female,50,$329
Leila Harrison,NJ,Female,33,$1238
Leila Hull,NJ,Female,59,$120
Leila Justice,PA,Female,52,$100
Lela Carney,CO,Female,51,$225
Lela Houston,FL,Female,47,$78
Lela Weaver,GA,Female,45,$284
Leland Hickman,PA,Male,54,$380
Leland Kinney,CA,Male,27,$117
Lelia McKenzie,NY,Female,49,$504
Len Nixon,NY,Male,39,$381
Len Salinas,NY,Male,54,$85
Lena Dodson,NC,Female,34,$194
Lena Farrell,CT,Female,34,$279
Lena Moon,TX,Female,47,$280
Lena Waters,NJ,Female,27,$140
Lenard Hood,CA,Male,68,$90
Lenard Walter,TX,Male,71,$210
Lenny Cooke,GA,Male,42,$22
Lenny Hyde,NC,Male,48,$60
Lenora Ferrell,FL,Female,71,$170
Lenora Lindsey,TX,Female,74,$95
Lenora Potts,TX,Female,67,$90
Lenora Rhodes,FL,Female,50,$200
Lenore Anthony,TX,Female,69,$117
Lenore Kline,FL,Female,93,$599
Leo Cruz,CO,Male,24,$150
Leo Raymond,GA,Male,22,$191
Leola Bruce,NY,Female,35,$413
Leola Pierce,FL,Female,57,$100
Leon Cervantes,FL,Male,62,$265
Leon Clay,AZ,Male,60,$514
Leon Schroeder,GA,Male,64,$1232
Leona Marquez,CA,Female,59,$283
Leona Nolan,VA,Female,27,$340
Leona Ortiz,AL,Female,47,$28
Leona Talley,FL,Female,69,$72
Leonard Klein,CO,Male,23,$112
Leonard Potts,TX,Male,36,$52
Leonard Warren,GA,Male,22,$289
Leonardo Cobb,FL,Male,43,$50
Leonel Alford,VA,Male,60,$671
Leonel Buckley,CA,Male,29,$259
Leonor Boone,NC,Female,73,$489
Leopoldo McCall,FL,Male,47,$110
Leroy Carr,OH,Male,49,$284
Leroy Marquez,MA,Male,36,$65
Leroy Riggs,CT,Male,51,$1500
Les Dalton,VA,Male,57,$180
Les Santiago,NY,Male,46,$396
Lesa Hobbs,TX,Female,83,$149
Lesa Rivers,GA,Female,59,$91
Lesley Atkins,TN,Female,51,$453
Lesley Rhodes,NC,Female,46,$911
Leslie Calderon,TX,Female,81,$314
Leslie Irwin,FL,Female,48,$255
Leslie Macias,TX,Male,80,$240
Leslie Ray,CA,Female,28,$367
Leslie Romero,NJ,Male,36,$65
Leslie Stephens,GA,Female,63,$20
Lessie Ayala,FL,Female,46,$413
Lessie Sears,GA,Female,54,$200
Lester Murphy,VA,Male,26,$299
Leta Coleman,VA,Female,48,$393
Leta Massey,SC,Female,66,$22
Letha Dominguez,CO,Female,49,$221
Letha Moody,NY,Female,51,$40
Letha Nunez,TX,Female,38,$424
Letha Owens,NC,Female,49,$800
Leticia Huber,OH,Female,60,$28
Leticia Kennedy,NH,Female,52,$420
Levi Clark,PA,Male,65,$709
Levi Levy,FL,Male,86,$78
Levi Roy,NY,Male,60,$407
Lidia Molina,NY,Female,71,$258
Lidia Pace,CO,Female,26,$849
Lidia Phelps,FL,Female,61,$469
Lila Jones,TX,Female,44,$570
Lila Walton,OH,Female,61,$168
Lila Workman,TX,Female,50,$351
Lilia Livingston,VA,Female,60,$509
Lilia May,CA,Female,34,$25
Lilia McKee,GA,Female,51,$28
Lilian Elliott,PA,Female,77,$529
Lillie Hudson,TN,Female,74,$270
Lillie Orr,NY,Female,41,$247
Lillie Parrish,AL,Female,66,$630
Lilly Cruz,FL,Female,91,$185
Lincoln Carlson,CA,Male,24,$100
Lincoln Rodriguez,MA,Male,71,$128
Linda Wilkinson,TX,Female,33,$370
Lindsay Hewitt,FL,Female,63,$503
Lindsay Mills,TX,Female,57,$345
Lindsey Schneider,MA,Male,34,$120
Lino Anthony,MA,Male,73,$317
Lino Boyer,FL,Male,57,$197
Lisa Cox,CA,Female,72,$794
Lisa Johnston,CT,Female,76,$45
Lisa Mercer,TN,Female,45,$181
Liz Collier,CA,Female,72,$238
Liz Doyle,CO,Female,35,$479
Liz Emerson,NC,Female,37,$10
Liz Ortiz,OH,Female,43,$417
Liza Camacho,TX,Female,59,$60
Lizzie Cohen,NC,Female,26,$132
Lizzie Fuller,VA,Female,25,$113
Lloyd Ramos,CA,Male,61,$400
Lola Espinoza,VA,Female,24,$729
Lola Olson,NY,Female,68,$699
Lola Park,WA,Female,43,$573
Lola Watson,CT,Female,42,$251
Lolita McPherson,NC,Female,24,$1240
Lolita Pittman,SC,Female,27,$1420
Lon Johnston,CA,Male,44,$240
Lon Morton,UT,Male,49,$129
Lon Tyson,NC,Male,31,$240
Long Gordon,SC,Male,55,$125
Long Hester,FL,Male,76,$399
Long Hobbs,CA,Male,69,$389
Long Roberson,TX,Male,61,$179
Lonnie Rollins,TX,Male,71,$270
Lora Carver,NM,Female,72,$91
Lora Holloway,TX,Female,80,$345
Lora Melton,FL,Female,64,$745
Lora Todd,FL,Female,87,$455
Loraine Copeland,FL,Female,86,$20
Loraine Sampson,CA,Female,30,$490
Loren Bartlett,GA,Male,21,$15
Loren Clayton,CA,Male,42,$180
Loren Cross,NM,Male,55,$155
Lorene Atkins,VA,Female,43,$140
Lorene Lamb,NY,Female,24,$416
Loretta Brennan,NY,Female,33,$813
Loretta Maxwell,CA,Female,67,$379
Lori Petty,LA,Female,29,$180
Lori Small,FL,Female,62,$560
Lorna Boyd,VA,Female,45,$1030
Lorna Mooney,WA,Female,61,$30
Lorna Watson,TX,Female,57,$787
Lorraine Blake,TX,Female,79,$694
Lorraine Lewis,VA,Female,52,$13
Lorrie Moses,CA,Female,26,$449
Lou Berger,NH,Female,54,$646
Lou Charles,VA,Female,32,$871
Lou Ferguson,NJ,Female,54,$630
Lou Hewitt,TX,Female,45,$91
Lou Jenkins,CA,Male,67,$1105
Lou King,NC,Male,71,$39
Lou Randall,TX,Female,74,$80
Lou Tyler,WA,Male,43,$110
Lou York,AZ,Male,43,$430
Louella Melton,CA,Female,52,$180
Louella Owen,NC,Female,31,$140
Louella Richard,GA,Female,60,$313
Louie Graham,TX,Male,71,$120
Louis Douglas,CA,Male,52,$329
Louisa Acosta,FL,Female,97,$100
Louisa Patterson,CA,Female,29,$28
Louise Bean,NH,Female,24,$403
Louise Blair,VA,Female,42,$50
Louise Bonner,CO,Female,44,$616
Louise Santana,TX,Female,82,$13
Louise Webb,AL,Female,39,$299
Lourdes Goodman,LA,Female,41,$227
Lowell Barr,UT,Male,52,$771
Lowell Carson,FL,Male,60,$435
Lowell Cortez,NC,Male,44,$339
Lowell Park,LA,Male,28,$406
Luann Diaz,CT,Female,24,$85
Luann Franks,FL,Female,62,$450
Lucas Parrish,OR,Male,39,$98
Lucas Powell,AL,Male,53,$303
Lucia Morton,GA,Female,54,$180
Lucia Trujillo,LA,Female,75,$175
Luciano Barry,OH,Male,42,$40
Luciano Crane,CT,Male,23,$1251
Luciano Gould,CO,Male,65,$330
Luciano Walton,TX,Male,75,$305
Lucien Beach,TN,Male,26,$150
Lucien Torres,VA,Male,38,$124
Lucile Bray,PA,Female,63,$342
Lucile McFadden,GA,Female,47,$556
Lucile Waters,NY,Female,70,$644
Lucio Delgado,PA,Male,23,$1100
Lucio Mercado,MA,Male,72,$181
Lucio Molina,CT,Male,21,$449
Lucio Mueller,FL,Male,88,$420
Lucio William,CT,Male,45,$78
Lucius Cross,PA,Male,35,$135
Lucy Barrett,NY,Female,47,$262
Lucy Chapman,TX,Female,31,$175
Lucy Clark,FL,Female,68,$290
Lucy Vang,TN,Female,25,$120
Lucy Wood,NC,Female,48,$776
Luis Burton,TN,Male,22,$904
Luis Clayton,CT,Male,67,$60
Luisa Deleon,VA,Female,63,$91
Luisa Griffin,CA,Female,68,$100
Luke Battle,OR,Male,66,$412
Luke Cervantes,FL,Male,91,$117
Luke Forbes,AZ,Male,38,$231
Lula Solomon,VA,Female,61,$317
Lupe Rosales,WA,Male,27,$26
Lupe Sweet,NC,Female,25,$207
Luther Dickson,FL,Male,95,$355
Luz Berg,CA,Female,54,$117
Luz Gray,VA,Female,39,$664
Luz Hodges,NC,Female,32,$150
Luz Thompson,CA,Female,62,$60
Lydia Blackburn,CO,Female,53,$22
Lyle Cotton,GA,Male,62,$112
Lyle Harvey,PA,Male,58,$130
Lyman Mosley,FL,Male,75,$60
Lyman Murray,LA,Male,50,$315
Lyman Rogers,WA,Male,62,$417
Lynda Christian,TX,Female,35,$586
Lyndon Hunt,NM,Male,53,$200
Lynette Hester,CO,Female,68,$140
Lynette Moon,WA,Female,47,$287
Lynette Rivers,GA,Female,44,$205
Lynn Castro,TX,Male,50,$130
Lynn Cunningham,FL,Female,74,$339
Lynne Garcia,FL,Female,61,$383
Lynwood Golden,FL,Male,80,$599
Mabel Blake,NC,Female,43,$171
Mabel Conrad,OH,Female,48,$460
Mable Beach,PA,Female,59,$359
Mable Evans,CA,Female,32,$250
Mable Frye,UT,Female,35,$304
Mac Bates,GA,Male,27,$234
Mac Miranda,GA,Male,37,$262
Mack McKay,UT,Male,54,$179
Mack Mejia,TX,Male,31,$78
Mack Sargent,NY,Male,58,$33
Madeleine Becker,PA,Female,26,$105
Madeline Allen,FL,Female,97,$163
Madelyn Harmon,NJ,Female,45,$157
Madelyn Harrington,GA,Female,28,$40
Madelyn McConnell,GA,Female,51,$506
Madge Bush,NJ,Female,28,$491
Mae Buchanan,PA,Female,71,$200
Magdalena Barrera,WA,Female,43,$80
Magdalena Kelly,CA,Female,66,$120
Magdalena Olsen,OH,Female,38,$289
Maggie Gibson,CA,Female,60,$200
Maggie Haley,TX,Female,67,$100
Maggie Maldonado,UT,Female,74,$20
Mai Bentley,NH,Female,72,$30
Mai Gay,NC,Female,52,$568
Mai Hawkins,WA,Female,56,$317
Mai Woods,RI,Female,46,$305
Major Berry,NY,Male,64,$200
Major Bonner,TX,Male,32,$140
Malcolm Rich,NY,Male,23,$799
Malcom Finch,OR,Male,32,$138
Malcom Potts,TX,Male,35,$160
Malcom Woods,TX,Male,74,$75
Malik Brewer,LA,Male,24,$467
Malik Howe,NM,Male,41,$400
Malinda Dickerson,NY,Female,66,$352
Malinda Kemp,TX,Female,84,$136
Mallory Finch,FL,Female,79,$117
Mallory Flowers,WA,Female,75,$58
Mallory Hensley,NY,Female,57,$91
Mallory Lee,CO,Female,70,$794
Mallory Nash,PA,Female,66,$140
Mamie Parsons,NY,Female,50,$489
Mamie Wells,CO,Female,38,$529
Man Adams,SC,Male,39,$88
Man OConnor,CA,Male,66,$420
Mandy Green,TX,Female,32,$210
Mandy McGee,CA,Female,74,$134
Mandy Sweet,AZ,Female,51,$267
Manual Wilkinson,NJ,Male,69,$105
Manuel Walter,CA,Male,44,$184
Manuela Britt,VA,Female,63,$779
Manuela Sellers,NY,Female,38,$150
Marc Holman,TX,Male,56,$65
Marcel Contreras,NY,Male,56,$199
Marcel Hines,WA,Male,39,$20
Marcel Meadows,CA,Male,36,$95
Marcelino Jarvis,TX,Male,40,$366
Marcella Skinner,CA,Female,27,$20
Marcella Solomon,TX,Female,42,$231
Marcelo Collins,CO,Male,44,$815
Marcelo Humphrey,AZ,Male,49,$10
Marcelo Jefferson,TX,Male,30,$131
Marci Dickerson,RI,Female,53,$401
Marcia Castillo,SC,Female,24,$170
Marcia McIntosh,NC,Female,72,$1153
Marcie Barr,NC,Female,47,$40
Marcie Mercado,CT,Female,47,$135
Marco Osborn,NM,Male,38,$250
Marcos Barker,LA,Male,49,$150
Marcos Munoz,MA,Male,58,$70
Marcos Powell,TX,Male,54,$90
Marcus Carver,FL,Male,52,$386
Marcus Hunter,VA,Male,70,$180
Margaret Huffman,NC,Female,24,$80
Margaret Preston,MA,Female,30,$255
Margaret Summers,AZ,Female,82,$317
Margaret White,NY,Female,63,$164
Margarita Chase,MA,Female,25,$15
Margarita Cook,CA,Female,26,$140
Margarita Trevino,FL,Female,53,$330
Margie Booth,NY,Female,51,$146
Margie Witt,WA,Female,42,$140
Margo Hyde,AL,Female,57,$70
Margo Kirkland,AZ,Female,38,$464
Margo Roy,VA,Female,58,$202
Margret Calderon,AZ,Female,50,$50
Margret Dunn,CT,Female,62,$22
Margret Ellison,NY,Female,28,$145
Margret Santos,NC,Female,37,$120
Marguerite Floyd,CA,Female,60,$339
Marguerite Frost,NY,Female,54,$262
Marguerite Jensen,CT,Female,40,$26
Mari Terry,NC,Female,65,$163
Maria Dillon,CA,Male,27,$198
Maria Lara,CA,Male,35,$190
Maria Reyes,FL,Male,42,$344
Maria Tran,OR,Male,25,$40
Mariana Decker,GA,Female,35,$355
Mariana Hendricks,AZ,Female,73,$305
Mariana Maynard,SC,Female,56,$160
Mariana Watkins,CA,Female,31,$150
Mariana William,OH,Female,58,$1549
Marianne Quinn,FL,Female,56,$160
Mariano Andrews,FL,Male,52,$290
Mariano Pacheco,CO,Male,30,$172
Maribel Donovan,TX,Female,72,$133
Maricela Burch,MA,Female,42,$325
Maricela West,NY,Female,58,$616
Marie Cortez,CT,Female,74,$65
Marie Kerr,NC,Female,27,$490
Marietta Petersen,NC,Female,51,$5
Marilyn White,CT,Female,67,$120
Marina Davis,CA,Female,37,$1180
Marina Pennington,OH,Female,59,$100
Mario Hanson,NM,Male,41,$490
Marion Palmer,GA,Female,35,$160
Marion Roberts,FL,Female,97,$80
Marisa Serrano,NC,Female,66,$180
Marisol Cohen,NY,Female,44,$81
Marissa Padilla,GA,Female,76,$335
Marissa Walsh,FL,Female,76,$180
Maritza Vaughan,VA,Female,29,$80
Marjorie Luna,AL,Female,64,$82
Mark Cameron,GA,Male,67,$120
Markus Ware,FL,Male,82,$410
Marla House,OR,Female,76,$110
Marlene Mann,TX,Female,64,$329
Marlene Randall,NY,Female,34,$180
Marlin Knowles,CO,Male,47,$177
Marlon Griffin,CO,Male,26,$175
Marquis Blair,TN,Male,34,$259
Marquis Franklin,VA,Male,25,$299
Marquita Davis,WA,Female,49,$60
Marquita Holland,NY,Female,30,$20
Marsha Barnett,TX,Female,56,$304
Marshall Pace,MA,Male,46,$240
Marta Daugherty,VA,Female,69,$150
Marta Hewitt,NH,Female,68,$210
Marta Valdez,OH,Female,30,$160
Martha Lindsey,CA,Female,75,$1509
Martin Aguilar,VA,Male,31,$110
Martin Fitzpatrick,TX,Male,30,$205
Martin Sandoval,TN,Male,45,$314
Martina Sellers,NC,Female,42,$96
Martina Wynn,NJ,Female,77,$741
Marty Chapman,FL,Male,75,$200
Marty Macias,TX,Male,49,$211
Marty Rocha,FL,Male,72,$239
Marvin Love,AL,Male,72,$544
Mary Kent,LA,Male,39,$670
Mary Mathis,FL,Male,80,$516
Mary McIntosh,FL,Female,51,$751
Mary Olson,NC,Male,40,$1050
Mary Whitney,FL,Male,54,$219
Maryann Chase,OH,Female,42,$591
Maryann Harrell,AZ,Female,68,$30
Maryann Pugh,NY,Female,38,$30
Maryann Robbins,CA,Female,36,$910
Maryanne Delaney,GA,Female,55,$120
Maryanne Harrell,CO,Female,53,$290
Maryanne Huff,NY,Female,60,$200
Maryanne Vargas,TX,Female,37,$389
Maryellen Farmer,GA,Female,59,$383
Maryellen Frazier,LA,Female,53,$100
Maryellen Mayer,TX,Female,54,$60
Maryellen Savage,GA,Female,63,$599
Maryellen Walters,GA,Female,46,$70
Marylou Hines,NH,Female,38,$452
Marylou Rhodes,GA,Female,62,$639
Mason Hartman,TX,Male,72,$117
Mason Willis,NY,Male,34,$277
Matilda McCray,FL,Female,66,$160
Matilda Ochoa,NY,Female,73,$150
Matt House,VA,Male,45,$78
Matt Whitfield,FL,Male,78,$164
Matthew Callahan,NC,Male,63,$100
Matthew Kemp,GA,Male,46,$155
Matthew Wilcox,NY,Male,35,$120
Mattie Hutchinson,TX,Female,44,$52
Mattie Little,FL,Female,59,$884
Maude Barnes,VA,Female,77,$100
Maude Rasmussen,TX,Female,76,$560
Maude Tran,TX,Female,45,$359
Maureen Flores,CA,Female,40,$354
Maureen Odonnell,AL,Female,64,$733
Maureen York,OR,Female,36,$634
Maurice Sykes,CA,Male,74,$210
Max Fulton,NY,Male,21,$307
Maximo Cummings,FL,Male,61,$193
Maximo Durham,AZ,Male,61,$329
Maximo Stephens,FL,Male,65,$344
Maxine Dejesus,NY,Female,54,$243
Maxine Zamora,CO,Female,35,$20
May Beasley,AZ,Female,67,$140
Maynard Bishop,TX,Male,67,$120
Maynard Dale,TX,Male,46,$409
Mayra Cummings,GA,Female,28,$238
Mayra Giles,GA,Female,51,$195
Mayra Spencer,NH,Female,73,$169
Mckinley Franklin,PA,Male,21,$188
Mckinley Goodman,NH,Male,72,$233
Mckinley Hyde,FL,Male,59,$339
Meagan Pitts,VA,Female,28,$420
Meagan Watson,FL,Female,78,$590
Megan Dennis,CA,Female,71,$700
Megan Franco,OH,Female,34,$561
Megan Jefferson,NM,Female,78,$539
Meghan Finley,NC,Female,66,$67
Mel Burch,NJ,Male,60,$519
Mel Chavez,FL,Male,47,$345
Mel Copeland,PA,Male,68,$10
Mel Hanson,FL,Male,83,$239
Mel Joyce,PA,Male,38,$1099
Melanie Rose,TX,Female,52,$583
Melanie Terrell,CO,Female,38,$106
Melinda Hughes,NC,Female,64,$142
Melinda Sanford,PA,Female,52,$665
Melinda Stanley,NY,Female,74,$20
Melisa Warner,CA,Female,58,$26
Melissa McLeod,FL,Female,52,$249
Melissa Summers,CO,Female,72,$789
Melissa Whitfield,GA,Female,54,$289
Melody Murphy,MA,Female,60,$500
Melva David,TX,Female,79,$220
Melva Green,LA,Female,49,$290
Melva Marshall,CA,Female,72,$203
Melva Wilkinson,NJ,Female,74,$369
Mercedes Dickerson,CA,Female,34,$739
Mercedes Giles,VA,Female,63,$403
Mercedes Pennington,TX,Female,65,$814
Mercedes Reid,FL,Female,64,$246
Mercedes Sanders,CA,Female,76,$279
Meredith Marsh,FL,Female,58,$790
Meredith Page,SC,Female,61,$66
Merle Battle,NC,Female,75,$180
Merle Brady,CO,Male,34,$184
Merle Bright,FL,Female,75,$100
Merle Cervantes,TN,Female,74,$338
Merle Hale,NY,Female,38,$140
Merle Hubbard,AL,Male,55,$323
Merle Velazquez,CO,Female,39,$160
Merlin Shaw,VA,Male,47,$303
Merrill Hardy,NY,Male,20,$140
Mervin Hardin,NC,Male,60,$78
Mervin Sharpe,TX,Male,74,$739
Mia Little,NC,Female,52,$1016
Mia Maldonado,NC,Female,73,$20
Mia Meadows,FL,Female,80,$539
Mia Ware,FL,Female,94,$125
Michael Cannon,TX,Male,43,$216
Michael McKee,FL,Female,53,$78
Michael Morales,NM,Male,81,$123
Michael Reyes,AZ,Male,47,$60
Michael Saunders,MA,Male,22,$569
Michale Santana,GA,Male,74,$539
Michale Strickland,LA,Male,51,$234
Micheal Hendrix,MA,Male,62,$320
Micheal Strong,NM,Male,82,$560
Michel Hamilton,TX,Male,38,$289
Michele Rose,MA,Female,65,$20
Mickey Higgins,WA,Male,35,$329
Miguel Faulkner,VA,Male,42,$200
Miguel Flowers,CA,Male,52,$44
Miguel Wilcox,PA,Male,44,$30
Mike Galloway,CO,Male,73,$78
Mike Wooten,OR,Male,22,$781
Mikel Hensley,TX,Male,54,$176
Milagros Carroll,CA,Female,46,$225
Milagros Castro,FL,Female,51,$387
Milan Conway,WA,Male,50,$649
Milan Gaines,NH,Male,39,$384
Mildred Ellis,NY,Female,77,$452
Mildred Figueroa,TX,Female,82,$232
Mildred Langley,NY,Female,43,$168
Miles Becker,LA,Male,53,$190
Miles Carney,FL,Male,65,$130
Miles Ross,UT,Male,35,$60
Miles Sellers,UT,Male,37,$230
Milford English,CT,Male,70,$630
Millard Finch,TN,Male,60,$45
Millard Greer,NJ,Male,30,$719
Millicent Marquez,MA,Female,37,$99
Milo Gregory,NC,Male,73,$519
Milo Hunt,NC,Male,31,$327
Milton Holloway,OR,Male,40,$150
Milton Marsh,FL,Male,69,$15
Milton Ramsey,TX,Male,68,$180
Mindy Guerrero,NY,Female,71,$427
Mindy Rush,CT,Female,24,$1180
Minh Marquez,TX,Male,37,$98
Minnie Maxwell,GA,Female,46,$60
Minnie Rowland,FL,Female,79,$915
Miquel Haley,CO,Male,39,$360
Miranda Estes,NY,Female,39,$168
Miriam Drake,FL,Female,63,$44
Misty Zamora,VA,Female,41,$411
Mitch Cobb,FL,Male,76,$474
Mitch Floyd,TN,Male,34,$105
Mitch Rosario,NY,Male,30,$100
Mitchel Glass,NC,Male,54,$208
Mitchell Sims,FL,Male,77,$209
Mitzi Duran,CO,Female,75,$30
Mitzi Hickman,TN,Female,64,$160
Mitzi McCoy,TX,Female,42,$5
Mitzi Thomas,CT,Female,50,$75
Mitzi Woodard,FL,Female,96,$164
Modesto Huffman,PA,Male,44,$560
Mohammad Ramsey,TX,Male,71,$709
Mohammad Singleton,NY,Male,72,$150
Mohammad Wise,FL,Male,50,$524
Mohammed Peck,UT,Male,68,$429
Mohammed Rogers,CA,Male,71,$176
Mohammed Stephenson,TX,Male,57,$25
Moises Gregory,AL,Male,26,$553
Moises Terrell,CT,Male,46,$193
Mollie Sweet,VA,Female,61,$143
Molly Cross,TX,Female,55,$218
Mona Flowers,TX,Female,81,$519
Mona Huff,MA,Female,36,$100
Mona Middleton,FL,Female,69,$329
Monica Jimenez,LA,Female,54,$26
Monica Kelley,OH,Female,24,$759
Monica Nielsen,TX,Female,71,$225
Monique Branch,AL,Female,58,$160
Monroe Mathis,CT,Male,42,$65
Monte Frederick,TX,Male,57,$697
Monte Roberson,TX,Male,35,$240
Morgan Barrera,NJ,Female,64,$144
Morgan Hardy,NY,Female,56,$949
Morgan Wade,VA,Female,30,$169
Morris Sears,AL,Male,35,$388
Mose Cummings,CT,Male,44,$303
Moses Bell,NJ,Male,58,$453
Moshe Grimes,GA,Male,63,$428
Moshe McGee,LA,Male,69,$120
Moshe Mendoza,PA,Male,41,$289
Moshe Wells,CO,Male,37,$20
Muriel Kaufman,AL,Female,51,$412
Muriel Sherman,NY,Female,37,$362
Murray Hunter,CO,Male,72,$91
Murray Rivera,CO,Male,24,$206
Myra Phelps,LA,Female,73,$252
Myrna Henson,TX,Female,38,$915
Myrna Snow,GA,Female,51,$629
Myrna White,WA,Female,24,$229
Myron Edwards,CA,Male,31,$244
Myron Hancock,SC,Male,26,$140
Myron Romero,AZ,Male,46,$60
Myron Rowland,VA,Male,51,$280
Nadia Hall,AZ,Female,88,$576
Nadia Reyes,SC,Female,40,$454
Nadia Rosales,VA,Female,30,$140
Nadia Weeks,VA,Female,24,$100
Nadine Kline,CA,Female,68,$284
Nadine Pollard,UT,Female,62,$231
Nancy Ray,CA,Female,37,$159
Nanette Kennedy,TX,Female,46,$674
Nanette Reeves,CA,Female,62,$414
Nanette Whitaker,TX,Female,56,$480
Nannie Butler,NY,Female,52,$100
Naomi Fulton,NC,Female,74,$180
Naomi Keller,AL,Female,33,$130
Naomi Lowery,NC,Female,35,$435
Naomi McPherson,NC,Female,58,$40
Naomi Vang,CA,Female,47,$205
Napoleon Washington,FL,Male,85,$100
Natalia Deleon,NJ,Female,76,$1135
Natalia Sanchez,NY,Female,54,$140
Natasha Erickson,FL,Female,51,$40
Natasha Frost,FL,Female,56,$17
Natasha Rutledge,AZ,Female,42,$125
Nathan Santiago,WA,Male,73,$293
Nathanael Camacho,VA,Male,71,$959
